MATIERE_ENSEIGNEE,FAMILLE_MATIERE,LIBELLE_COURT_MATIERE_ENSEIGNE,LIBELLE_LONG_MATIERE_ENSEIGNE,LIBELLE_EDITION
371900,37,IUMLI,INIT.UTILIS.MATER.-LOGIC.INFMTQ DE L'ETS,Init.utilis.mater.-logic.infmtq de l'ets
379900,37,IFGSD,INFORMATIQUE DE GESTION DIVERS,Informatique de gestion divers
380200,38,DOMEC,DOMAINE ECONOMIQUE,Domaine economique
380300,38,E-GCG,ECONOMIE ET GESTION/CONJOINT,Economie et gestion/conjoint
380400,38,E-OGS,ECONOMIE ET GESTION,Economie et gestion
380500,38,E-TKG,ECONOMIE ET TECHNIQUES DE GESTION,Economie et techniques de gestion
380800,38,E-ONO,ECONOMIE,Economie
380900,38,PBECO,PROBLEMES ECONOMIQUES,Problemes economiques
381000,38,E-DRT,ECONOMIE ET DROIT,Economie et droit
381200,38,CFOEC,COMPLEMENT DE FORMATION ECONOMIQUE,Complement de formation economique
381300,38,E-GEE,ECONOMIE GENERALE ET ECO.D'ENTREPRISE,Economie generale et eco.d'entreprise
381400,38,E-EED,"ECONOMIE GENERALE, ECO.ENTREPRISE DROIT","Economie generale, eco.entreprise droit"
381500,38,APRMT,APPROFONDISSEMENT METHODOLOGIQUE,Approfondissement methodologique
381600,38,HIECO,HISTOIRE ECONOMIQUE,Histoire economique
381700,38,ANMPE,ANALYSE MONETAIRE POLITIQUE ECONOMIQUE,Analyse monetaire politique economique
381800,38,ODOEC,OPTION A DOMINANTE ECONOMIQUE,Option a dominante economique
381900,38,E-TDR,ECONOMIE GENERALE ET TOURISTIQUE-DROIT,Economie generale et touristique-droit
389900,38,E-ODI,ECONOMIE DIVERS,Economie divers
390100,39,G-FDT,GESTION FINANCIERE DES TRAVAUX,Gestion financiere des travaux
390200,39,G-FIN,GESTION FINANCIERE,Gestion financiere
390300,39,G-CAB,GESTION-COMPTABILITE ANALYTIQUE-BUDGETAI,Gestion-comptabilite analytique-budgetai
390400,39,MOCTB,MODULE ELEMENTAIRE COMPTABILITE,Module elementaire comptabilite
390500,39,MT-QU,METHODES QUANTITATIVES,Methodes quantitatives
390600,39,CPT-G,COMPTABILITE ET GESTION,Comptabilite et gestion
390700,39,FIETB,FINANCEMENT DES ENTR.ET TECHN.BANCAIRES,Financement des entr.et techn.bancaires
390800,39,CPTTA,COMPTABILITE,Comptabilite
390900,39,TXSYC,TRAVAUX DE SYNTHESE COMPTABILITE,Travaux de synthese comptabilite
363300,36,ASPPS,ASPECTS PSYCHO-SOCIAUX ET JURIDIQUES,Aspects psycho-sociaux et juridiques
363400,36,I-EJU,INITIATION ECONOMIQUE ET JURIDIQUE,Initiation economique et juridique
363500,36,DIMJE,DIMENSION JURIDICO-ECONOMIQUE.,Dimension juridico-economique.
363600,36,GREGE,GR(ENT-GEST.-ECO GEN.-E.ENT.-DROIT SOC.),Gr(ent-gest.-eco gen.-e.ent.-droit soc.)
363700,36,LGEGE,LEGISLATION-ECONOMIE-GESTION ENTREPRISE,Legislation-economie-gestion entreprise
363800,36,LGTRS,LEGISLATION DU TRAVAIL ET SECURITE,Legislation du travail et securite
363900,36,DR-DA,DROIT GENERAL ET DROIT DES ASSURANCES,Droit general et droit des assurances
364000,36,RGLTT,REGLEMENT.ET LEGIS. TRANSPORTS TOURISME,Reglement.et legis. transports tourisme
364100,36,DR-CI,DROIT CIVIL,Droit civil
364200,36,DR-CO,DROIT COMMERCIAL,Droit commercial
364300,36,SMSBU,SCIENCES MEDICO-SOCIALES ET BUREAUTIQUE,Sciences medico-sociales et bureautique
364400,36,DRGIM,DROIT GENERAL DE L'IMMOBILIER,Droit general de l'immobilier
369900,36,DR-LD,DROIT ET LEGISLATION DIVERS,Droit et legislation divers
370100,37,MA-GI,"MATHS APPLIQUES,OUTILS GESTION -INFORMA.","Maths appliques,outils gestion -informa."
370200,37,APINF,APPLICATIONS INFORMATIQUES,Applications informatiques
370500,37,TECIF,TECHNOLOGIES INFORMATIQUES,Technologies informatiques
370600,37,G-INF,GESTION ET INFORMATIQUE,Gestion et informatique
370606,37,G-INM,GESTION ET INFORMATIQUE HOR MAX,Gestion et informatique hor max
370800,37,NEGIF,NEGOCIATIONS INFORMATIQUES,Negociations informatiques
370900,37,ALGLG,ALGORITHME ET LANGAGES,Algorithme et langages
371000,37,TXAIN,TRAVAUX D'APPLICATION D'INFORMAT.,Travaux d'application d'informat.
371300,37,ANOIF,ANALYSE ORGANISATION - INFORMATISATION,Analyse organisation - informatisation
371400,37,IFAPG,INFORMATIQUE APPLIQUEE A LA GESTION,Informatique appliquee a la gestion
